src/compact/examples/composable/graph-linear/E.compact	ok	
src/compact/examples/composable/graph-tree-1/A.compact	ok	
src/compact/examples/composable/graph-tree-1/B.compact	ok	
src/compact/examples/composable/graph-tree-1/C.compact	ok	
src/compact/examples/composable/graph-tree-1/D.compact	ok	
src/compact/examples/composable/graph-tree-1/E.compact	ok	
src/compact/examples/composable/graph-tree-2/A.compact	ok	
src/compact/examples/composable/graph-tree-2/B.compact	ok	
src/compact/examples/composable/graph-tree-2/C.compact	ok	
src/compact/examples/composable/graph-tree-2/D.compact	ok	
src/compact/examples/composable/graph-tree-2/E.compact	ok	
src/compact/examples/composable/graph/A.compact	ok	
src/compact/examples/composable/graph/B.compact	ok	
src/compact/examples/composable/graph/C.compact	ok	
src/compact/examples/composable/graph/Main-A-and-B.compact	ok	
src/compact/examples/composable/graph/Main-B-and-C-on-A.compact	ok	
src/compact/examples/counter.compact	ok	
src/compact/examples/ecdsa/example_one.compact	fail	Exception: example_one.compact line 18 char 10:
src/compact/examples/election.compact	ok	
src/compact/examples/external/examples.compact	ok	
src/compact/examples/external/negative/example_four.compact	fail	Exception: example_four.compact line 19 char 1:
src/compact/examples/external/negative/example_one.compact	fail	Exception: example_one.compact line 17 char 19:
src/compact/examples/external/negative/example_three.compact	fail	Exception: example_three.compact line 17 char 24:
src/compact/examples/external/negative/example_two.compact	fail	Exception: example_two.compact line 17 char 26:
src/compact/examples/fixup/bugs/structured/bob.compact	ok	
src/compact/examples/fixup/bugs/structured/fixed_main.compact	ok	
src/compact/examples/fixup/bugs/structured/main.compact	ok	
src/compact/examples/fixup/bugs/structured/utils/greg.compact	ok	
src/compact/examples/fixup/bugs/structured/utils/other/alan.compact	ok	
src/compact/examples/fixup/bugs/structured/utils/other/mark.compact	ok	
src/compact/examples/formatter/input/already_formatted.compact	ok	
src/compact/examples/formatter/input/example_1.compact	fail	Exception: example_1.compact line 21 char 11:
src/compact/examples/formatter/input/example_10.compact	fail	Exception: example_10.compact line 56 char 1:
src/compact/examples/formatter/input/example_11.compact	fail	Exception: example_11.compact line 31 char 23:
src/compact/examples/formatter/input/example_12.compact	fail	Exception: example_12.compact line 29 char 28:
src/compact/examples/formatter/input/example_13.compact	fail	Exception: example_13.compact line 30 char 5:
src/compact/examples/formatter/input/example_2.compact	ok	
src/compact/examples/formatter/input/example_3.compact	ok	
src/compact/examples/formatter/input/example_4.compact	ok	
src/compact/examples/formatter/input/example_5.compact	fail	Exception: example_5.compact line 27 char 45:
src/compact/examples/formatter/input/example_6.compact	fail	Exception: example_6.compact line 26 char 18:
src/compact/examples/formatter/input/example_7.compact	ok	
src/compact/examples/formatter/input/example_8.compact	fail	Exception: example_8.compact line 27 char 17:
src/compact/examples/formatter/input/example_9.compact	fail	Exception: example_9.compact line 16 char 264:
src/compact/examples/formatter/output/already_formatted.compact	ok	
src/compact/examples/formatter/output/example_1.compact	fail	Exception: example_1.compact line 25 char 9:
src/compact/examples/formatter/output/example_10.compact	fail	Exception: example_10.compact line 45 char 1:
src/compact/examples/formatter/output/example_11.compact	fail	Exception: example_11.compact line 29 char 13:
src/compact/examples/formatter/output/example_12.compact	fail	Exception: example_12.compact line 32 char 35:
src/compact/examples/formatter/output/example_13.compact	fail	Exception: example_13.compact line 50 char 3:
src/compact/examples/formatter/output/example_2.compact	ok	
src/compact/examples/formatter/output/example_3.compact	ok	
src/compact/examples/formatter/output/example_4.compact	ok	
src/compact/examples/formatter/output/example_5.compact	fail	Exception: example_5.compact line 22 char 1:
src/compact/examples/formatter/output/example_6.compact	fail	Exception: example_6.compact line 29 char 19:
src/compact/examples/formatter/output/example_7.compact	ok	
src/compact/examples/formatter/output/example_8.compact	fail	Exception: example_8.compact line 26 char 17:
src/compact/examples/formatter/output/example_9.compact	fail	Exception: example_9.compact line 29 char 11:
src/compact/examples/jubjubpoint/examples.compact	ok	
src/compact/examples/jubjubpoint/negative/example_four.compact	fail	Exception: example_four.compact line 19 char 21:
src/compact/examples/jubjubpoint/negative/example_one.compact	fail	Exception: example_one.compact line 19 char 21:
src/compact/examples/jubjubpoint/negative/example_three.compact	fail	Exception: example_three.compact line 23 char 14:
src/compact/examples/jubjubpoint/negative/example_two.compact	fail	Exception: example_two.compact line 19 char 27:
src/compact/examples/modules/negative/example_eight.compact	fail	Exception: example_eight.compact line 28 char 12:
src/compact/examples/modules/negative/example_five.compact	fail	Exception: example_five.compact line 34 char 1:
src/compact/examples/modules/negative/example_four.compact	fail	Exception: example_four.compact line 35 char 1:
src/compact/examples/modules/negative/example_nine.compact	fail	Exception: example_nine.compact line 45 char 40:
src/compact/examples/modules/negative/example_one.compact	fail	Exception: example_one.compact line 31 char 10:
src/compact/examples/modules/negative/example_seven.compact	fail	Exception: example_seven.compact line 48 char 17:
src/compact/examples/modules/negative/example_six.compact	fail	Exception: example_six.compact line 19 char 3:
src/compact/examples/modules/negative/example_ten.compact	fail	Exception: example_ten.compact line 25 char 1:
src/compact/examples/modules/negative/example_three.compact	fail	Exception: example_three.compact line 38 char 10:
src/compact/examples/modules/negative/example_two.compact	fail	Exception: example_two.compact line 38 char 13:
src/compact/examples/modules/selective_examples.compact	ok	
src/compact/examples/modules/shadowing_example.compact	ok	
src/compact/examples/multiconst/multiconst.compact	ok	
src/compact/examples/multiconst/negative/multiple_bindings_in_same_block.compact	fail	Exception: multiple_bindings_in_same_block.compact line 18 char 25:
src/compact/examples/multiconst/negative/multiple_bindings_in_same_block_2.compact	fail	Exception: multiple_bindings_in_same_block_2.compact line 19 char 11:
src/compact/examples/multiconst/negative/multiple_bindings_in_same_block_3.compact	fail	Exception: multiple_bindings_in_same_block_3.compact line 18 char 9:
src/compact/examples/multiconst/negative/no_commas.compact	fail	Exception: no_commas.compact line 18 char 17:
